N,P,K,temperature,humidity,pH,rainfall,label,Plant_Category,EC (mS/cm) Range,Ca (ppm) Range,Mg (ppm) Range,Na (ppm) Range (Max)
109,61,52,27.392,66.3212,8.4056,86.6674,Zea mays var. indentata ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
68,27,21,24.4915,55.6185,5.4659,144.5967,Mangifera indica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
80,40,56,26.2906,65.492,7.843,57.5768,Foeniculum vulgare ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
16,25,3,15.2387,65.0809,5.9433,91.6572,Prunus persica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
19,0,0,20.8445,48.8682,7.1572,38.1675,Olea europaea ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
55,63,65,21.0244,63.5622,7.6682,100.0418,Glycine max ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
144,46,136,24.9462,77.155,6.6495,90.1954,Capsicum annuum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
42,24,21,23.5903,71.5248,6.2629,92.1756,Jasminum grandiflorum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
22,29,73,11.3266,80.0098,6.1364,59.9073,Pyrus communis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
0,0,40,12.9339,78.4134,6.044,143.8447,Citrus sinensis ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
109,51,67,22.4606,53.7466,6.9879,110.0726,Helianthus annuus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
78,72,136,22.5745,67.9775,6.7592,92.3761,Ipomoea batatas ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
71,38,42,20.5345,49.7422,8.4523,34.7822,Cuminum cyminum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
37,43,39,17.2395,64.134,6.7625,49.2159,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
21,19,10,32.7378,51.061,8.3753,16.8052,Phoenix dactylifera ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
15,17,0,6.476,59.6734,6.9079,112.2054,Citrus reticulata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
15,53,85,24.9463,59.0993,6.5498,39.9889,Vigna unguiculata ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
74,66,123,24.0664,73.3699,5.8593,131.2074,Ipomoea batatas ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
21,51,78,22.0739,64.4122,8.0597,30.0639,Cicer arietinum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
146,56,83,28.4574,61.916,7.3746,37.5961,Zea mays var. everta ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
39,20,22,12.5137,71.537,5.7771,67.5432,Prunus avium ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
27,0,33,33.7279,55.3487,8.1086,9.9698,Phoenix dactylifera ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
29,6,16,13.3685,67.9358,6.7028,70.3126,Citrus paradisi ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
23,13,12,26.3447,65.5188,6.4674,49.8428,Prunus armeniaca ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
126,56,140,27.1663,67.2357,7.7963,51.6618,Beta vulgaris ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
34,32,25,15.3826,74.6659,5.7117,75.4246,Pyrus communis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
94,36,56,19.0575,46.9019,7.5669,14.5373,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
49,37,27,26.064,65.4128,6.2194,89.7416,Jasminum grandiflorum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
34,37,60,17.6809,67.0432,8.0226,27.936,Ammi majus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
94,40,108,24.9848,78.811,6.2843,108.2604,Curcuma longa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
71,45,79,17.5891,66.7935,7.3855,63.5379,Brassica rapa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
43,56,57,29.1302,73.5042,5.9106,86.4403,Carica papaya ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
12,2,0,17.6789,61.0028,6.9931,56.1564,Citrus reticulata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
59,13,43,27.2299,60.8667,7.9616,5.9871,Portulaca oleracea ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
22,8,20,21.341,52.8782,7.777,121.9033,Punica granatum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
25,51,46,19.219,55.9188,7.5289,65.0094,Lupinus albus ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
107,39,98,22.3741,78.3959,7.5591,25.9597,Beta vulgaris var. conditiva ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
35,22,41,19.9026,54.9376,7.4235,43.2494,Origanum majorana ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
63,25,59,22.1904,59.8818,5.2135,143.6426,Psidium guajava ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
68,22,46,26.1394,47.3813,7.3233,44.4281,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
33,36,29,13.1099,73.218,5.9579,56.4405,Rosa damascena ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
20,18,29,24.5071,55.2099,8.3542,12.9799,Artemisia herba-alba ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
104,45,121,23.7102,85.7852,5.8369,117.0749,Zingiber officinale ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
138,39,44,28.5549,63.9069,8.0809,46.7951,Zea mays var. indentata ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
160,44,82,29.3629,57.4252,8.1846,85.6993,Zea mays ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
19,3,1,31.5817,22.2531,8.5816,16.927,Ziziphus spina-christi ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
26,70,85,25.8807,62.9349,5.6911,92.9885,Arachis hypogaea ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
77,33,41,14.0434,63.2174,7.5697,60.2367,Petroselinum crispum ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
76,39,60,29.0613,60.7012,7.8452,29.5858,Gossypium barbadense ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
107,86,158,17.259,75.6037,7.5707,36.8204,Solanum tuberosum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
56,57,77,19.1383,72.5154,6.7081,54.7438,Pisum sativum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
139,48,55,31.2211,63.5912,7.5842,29.3803,Zea mays var. indentata ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
28,61,84,21.1493,77.9011,7.2909,57.2198,Pisum sativum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
91,70,108,20.2313,69.7232,6.3869,52.5768,Ipomoea batatas ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
68,30,66,21.906,60.2701,6.7267,29.3292,Foeniculum vulgare ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
114,56,79,30.9959,72.4551,7.6247,63.6267,Oryza sativa ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
103,59,144,27.4656,87.5915,6.9133,120.9582,Colocasia esculenta ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
74,14,43,24.8541,75.6793,7.3013,39.6358,Mentha spicata ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
101,38,131,27.4398,81.5477,5.9022,65.7526,Colocasia esculenta ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
51,23,28,17.8538,59.5937,7.7973,28.0832,Hordeum vulgare ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
56,53,57,17.7721,61.6035,7.6425,37.5884,Lupinus albus ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
25,4,34,24.0663,69.2392,6.5181,87.3363,Citrus medica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
102,68,143,27.4707,79.4855,7.6313,119.98,Colocasia esculenta ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
14,64,77,16.7534,73.7468,7.0331,61.8537,Pisum sativum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
11,29,58,23.758,55.7752,8.7868,149.1419,Punica granatum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
101,38,28,25.5911,56.4101,7.453,27.6779,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
0,6,21,22.5776,51.0598,7.4524,82.6871,Olea europaea ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
14,15,48,19.9352,48.4655,7.8964,45.3061,Salvia officinalis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
85,61,65,16.3231,67.2018,7.7484,41.8989,Triticum aestivum ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
125,49,80,29.7522,68.0015,8.0639,0.0,Corchorus olitorius ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
0,9,47,20.7804,50.1486,7.9654,74.8735,Olea europaea ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
48,48,58,19.2718,70.5286,7.3715,37.1517,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
25,18,3,19.647,70.5251,7.5746,103.5882,Citrus sinensis ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
54,44,106,27.2259,76.3647,7.165,84.1862,Phaseolus vulgaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
98,48,119,19.4994,58.8508,7.208,69.5325,Daucus carota ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
43,57,75,20.0384,66.9889,7.3997,14.779,Lens culinaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
53,68,55,22.4715,62.136,7.4392,89.0335,Glycine max ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
71,43,90,17.5999,59.8292,8.1101,36.5836,Allium cepa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
27,22,38,18.7108,83.551,6.0024,77.6242,Pyrus communis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
143,51,91,24.4955,57.0233,7.8358,66.5179,Zea mays var. indentata ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
124,42,89,23.2491,72.9021,7.4999,91.5552,Solanum melongena ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
99,29,52,17.8939,54.8364,7.5227,39.7106,Allium ampeloprasum ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
44,63,70,22.8233,67.0959,6.6938,122.7853,Glycine max ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
25,66,81,13.7823,66.7474,7.4422,50.4458,Lens culinaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
75,79,102,23.4077,81.2383,6.6408,80.2044,Musa acuminata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
30,16,43,20.1501,64.4656,6.4812,125.7175,Prunus persica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
74,45,32,21.9573,64.3456,6.5783,82.9072,Ocimum basilicum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
51,64,72,17.76,71.5347,7.5543,43.6018,Phaseolus vulgaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
50,74,34,14.4203,66.7958,7.6869,26.1487,Brassica rapa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
9,36,17,14.4162,73.4307,5.806,185.0814,Pyrus communis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
61,54,51,11.4338,61.8753,6.8116,35.361,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
73,56,78,17.0874,57.9315,6.4153,17.8629,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
37,56,80,20.1657,66.9403,7.9678,22.1794,Trigonella foenum-graecum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
111,37,62,32.111,53.0728,7.9657,57.6534,Sorghum bicolor ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
93,31,46,17.2297,66.5031,7.8975,64.4102,Beta vulgaris subsp. cicla ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
110,31,64,15.1209,70.6527,7.2681,71.734,Lactuca sativa ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
32,50,75,18.4356,49.5012,6.6128,39.3518,Lupinus albus ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
97,35,23,21.0367,72.3862,6.736,73.8421,Melissa officinalis ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
36,14,39,12.2273,67.3093,6.955,76.8405,Rosa gallica ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
136,63,140,29.6797,62.6482,7.3972,51.402,Beta vulgaris ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
36,38,93,24.2982,85.1586,5.8632,73.1631,Curcuma longa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
81,43,78,16.5677,67.0716,7.5826,57.1451,Brassica rapa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
80,39,24,27.5924,62.1941,7.341,24.3202,Pennisetum glaucum ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
22,20,32,27.2233,63.0771,5.8673,112.9105,Psidium guajava ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
145,58,118,24.4176,82.616,7.2574,113.0337,Cucumis sativus ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
91,40,68,24.9191,59.5372,8.5075,54.3167,Gossypium barbadense ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
29,82,95,19.6344,61.3646,7.9073,33.0737,Vicia faba ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
52,23,34,20.485,71.4948,5.8774,51.8679,Rosa damascena ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
127,48,131,18.8349,74.4448,8.4901,26.5627,Beta vulgaris ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
137,43,102,26.8127,62.744,6.9688,69.0548,Capsicum frutescens ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
79,27,53,16.8311,53.708,7.6389,44.2898,Ammi majus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
68,25,34,14.2978,54.1268,7.41,49.0503,Pimpinella anisum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
131,53,103,24.1833,87.5551,5.6693,121.4631,Zingiber officinale ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
8,62,47,16.3418,55.4532,7.5103,53.8499,Lupinus albus ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
63,59,65,18.8942,56.179,8.038,73.6605,Lupinus albus ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
67,29,54,15.865,67.694,6.9175,51.3514,Petroselinum crispum ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
44,56,43,25.9533,47.5578,7.302,54.156,Vigna unguiculata ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
93,52,58,24.8659,66.2705,7.2514,25.7675,Helianthus annuus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
84,36,61,23.4293,58.3094,7.3151,55.7223,Coriandrum sativum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
70,58,92,23.7362,61.2043,6.7537,96.525,Arachis hypogaea ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
19,9,34,24.8319,45.7519,7.4483,24.7181,Rosmarinus officinalis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
50,51,55,13.9374,68.3462,7.5136,26.5418,Allium sativum ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
115,50,61,25.0886,60.4789,7.8067,89.7062,Zea mays var. everta ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
53,31,25,18.1858,59.6952,7.3568,54.9891,Hordeum vulgare ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
109,46,74,29.8454,79.6857,6.5187,124.221,Citrullus lanatus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
35,14,48,14.9983,55.2489,7.3435,46.7422,Ammi majus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
9,10,6,16.0373,55.7565,7.0604,43.64,Olea europaea ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
93,47,70,16.9358,55.9398,8.1696,6.7103,Allium cepa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
65,51,45,18.0649,62.7454,7.0947,26.735,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
34,15,8,31.9183,47.6181,9.4636,11.1305,Phoenix dactylifera ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
99,43,43,18.0293,56.2011,7.2743,61.3828,Anethum graveolens ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
72,35,20,16.9015,73.4661,7.4759,93.3828,Mentha spicata ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
12,0,0,10.0045,70.1097,6.7204,108.5051,Citrus sinensis ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
120,20,43,15.1018,56.2912,7.0111,25.2216,Spinacia oleracea ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
143,70,134,22.9891,81.352,6.7001,79.9163,Cucumis sativus ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
95,37,50,23.9024,50.3103,7.7965,107.0964,Hibiscus sabdariffa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
31,44,34,14.7461,56.261,6.6432,28.6264,Nigella sativa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
32,34,25,27.6375,53.7484,6.9455,41.0627,Portulaca oleracea ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
73,32,41,20.934,62.0166,7.3346,46.1654,Linum usitatissimum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
117,41,123,28.2301,68.7009,6.8625,3.3514,Capsicum frutescens ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
54,77,60,26.2017,67.2132,6.1797,110.1181,Glycine max ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
87,61,120,26.4675,65.6578,5.3632,97.1853,Manihot esculenta ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
109,41,39,28.1676,50.3803,7.4872,58.2607,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
124,55,59,25.5697,59.6974,7.6273,60.5695,Zea mays var. indentata ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
44,47,89,18.6468,68.1028,7.7547,16.2075,Allium sativum ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
69,32,54,21.3456,49.2743,6.8935,30.3153,Nigella sativa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
23,0,15,19.0588,72.0213,7.3447,102.1836,Citrus sinensis ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
2,15,22,16.2939,53.9223,7.7417,50.692,Olea europaea ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
128,48,71,31.0054,64.3875,7.3559,30.7364,Abelmoschus esculentus ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
144,62,99,24.4827,66.4656,7.4908,67.6394,Solanum lycopersicum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
61,36,35,17.4691,61.3814,7.3061,25.5075,Hordeum vulgare ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
135,52,46,24.5164,60.6535,7.9462,92.5949,Zea mays var. indentata ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
36,50,61,29.7998,63.1559,6.9303,55.9656,Vigna unguiculata ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
97,27,61,19.5618,68.5351,6.9787,50.97,Petroselinum crispum ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
75,52,66,18.6628,80.6173,6.4427,95.0553,Carica papaya ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
108,43,87,13.3238,63.4601,7.8406,43.8977,Allium ampeloprasum ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
114,28,70,19.04,61.1943,6.4156,54.3336,Spinacia oleracea ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
36,70,68,18.5663,73.9398,7.0014,33.0207,Lens culinaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
63,18,92,22.7747,58.0158,6.8124,28.5215,Linum usitatissimum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
10,0,0,33.7994,19.2686,6.7426,0.0,Opuntia ficus-indica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
66,26,64,13.163,61.6395,7.2952,56.7015,Nigella sativa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
92,42,23,22.3833,74.5286,6.2159,105.4277,Carica papaya ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
141,93,172,20.7199,72.1006,8.4596,17.2962,Solanum tuberosum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
37,65,103,19.869,77.5791,7.141,48.4927,Phaseolus vulgaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
44,61,83,14.6443,64.9715,7.5094,40.8144,Pisum sativum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
106,43,40,29.6197,63.8361,6.3718,82.4311,Hibiscus sabdariffa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
0,35,18,30.5648,56.5428,6.0555,108.4978,Mangifera indica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
40,18,31,14.661,54.662,6.6009,20.9153,Cuminum cyminum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
